Year,quarter,city1,city2,fare,carrier_lg,fare_lg,carrier_low,fare_low
2023,1,Atlanta,Cincinnati,285.43,DL,306.19,F9,86.77
2023,1,Atlanta,"Sacramento, California",400.84,DL,452.79,WN,317.6
2023,1,Atlanta,"Tampa, Florida",190.05,DL,227.82,WN,149.86
2023,1,Atlanta,"Kansas City, Missouri",241.96,DL,258.33,WN,204.47
2023,1,Atlanta,San Antonio,229.32,DL,262.32,WN,184.65
2023,1,Atlanta,"Memphis, Tennessee",206.57,DL,214.66,WN,150.8
2023,1,Atlanta,"Omaha, Nebraska",252.53,DL,276.2,WN,193.75
2023,1,Atlanta,Milwaukee,238.51,DL,252.67,WN,188.72
2023,1,Atlanta,New Orleans,178.09,DL,205.8,NK,106
2023,1,Atlanta,San Diego,404.79,DL,493.75,F9,118.11
2023,1,Atlanta,"Norfolk, Virginia",280.43,DL,295.28,WN,208.31
2023,1,Atlanta,Oklahoma City,245.4,DL,255.63,WN,196.11
2023,1,Atlanta,"West Palm Beach, Florida",245.98,DL,260.61,F9,76.38
2023,1,Atlanta,"Portland, Oregon",393.97,DL,455.78,F9,123.96
2023,1,Atlanta,Philadelphia,183.84,DL,227.41,F9,89.17
2023,1,Atlanta,"Raleigh/Durham, NC",207.4,DL,220.33,WN,148.37
2023,1,Atlanta,"Richmond, Virginia",200.94,DL,215.43,WN,147.27
2023,1,Atlanta,Salt Lake City,428.31,DL,475.19,F9,113.78
2023,1,Atlanta,"Sarasota/Bradenton, FL",216.8,DL,228.85,WN,142.15
2023,1,"Appleton, Wisconsin","Phoenix, Arizona",205.9,G4,176.1,G4,176.1
2023,1,"Austin, Texas",Dallas–Fort Worth metroplex,195.61,WN,189.49,WN,189.49
2023,1,"Austin, Texas",Denver,184.13,WN,183.15,WN,183.15
2023,1,"Austin, Texas","Phoenix, Arizona",249.9,WN,231.76,WN,231.76
2023,1,"Austin, Texas",Seattle,247.84,AS,239.1,AS,239.1
2023,1,"Austin, Texas","El Paso, Texas",161.87,WN,155.71,WN,155.71
2023,1,"Austin, Texas","Nashville, Tennessee",180.48,WN,170.57,WN,170.57
2023,1,"Austin, Texas",Boston,240.47,AA,241.37,B6,227.98
2023,1,"Austin, Texas","Washington, DC (Metropolitan Area)",245.01,WN,247.92,WN,247.92
2023,1,"Austin, Texas",Chicago,237.53,WN,207.86,WN,207.86
2023,1,"Austin, Texas","Charlotte, North Carolina",318.07,AA,334.84,NK,121.23
2023,1,"Austin, Texas","Columbus, Ohio",229.47,WN,212.28,WN,212.28
2023,1,"Austin, Texas",St. Louis,175.05,WN,167.24,WN,167.24
2023,1,"Austin, Texas",Detroit,223.89,DL,254.7,NK,110.14
2023,1,"Austin, Texas","Orlando, Florida",182.63,AA,178.66,NK,116.51
2023,1,"Austin, Texas",Minneapolis–Saint Paul,264.92,DL,278.55,WN,218.7
2023,1,"Austin, Texas",New York City,248.44,UA,264.33,B6,229.66
2023,1,"Austin, Texas",Las Vegas,199.76,WN,218.97,NK,117.04
2023,1,"Austin, Texas",Indianapolis,209.96,WN,200.03,WN,200.03
2023,1,"Austin, Texas",San Francisco,263.77,WN,227.57,WN,227.57
2023,1,"Austin, Texas",Miami,227.48,AA,276.03,NK,113.27
2023,1,"Austin, Texas",Los Angeles,199.99,WN,186.4,WN,186.4
2023,1,"Austin, Texas",Cincinnati,174.44,AA,192.03,G4,85.85
2023,1,"Austin, Texas","Sacramento, California",254.07,WN,262.08,WN,262.08
2023,1,"Austin, Texas","Tampa, Florida",231.24,WN,213.06,WN,213.06
2023,1,"Austin, Texas","Kansas City, Missouri",184.4,WN,177.71,WN,177.71
2023,1,"Austin, Texas",New Orleans,166.34,WN,154.22,WN,154.22
2023,1,"Austin, Texas",San Diego,206.59,WN,209.12,AS,189.83
2023,1,"Austin, Texas","Portland, Oregon",233.45,AS,226.85,WN,203.61
2023,1,"Austin, Texas",Philadelphia,378.12,AA,424.21,WN,272.95
2023,1,"Austin, Texas","Raleigh/Durham, NC",219.45,AA,224.17,WN,195.46
2023,1,"Austin, Texas",Salt Lake City,299.81,DL,318.59,WN,253.73
2023,1,"Asheville, North Carolina",New York City,183.95,DL,207.53,G4,80.07
2023,1,"Asheville, North Carolina",Miami,123.26,G4,92.72,G4,92.72
2023,1,"Asheville, North Carolina","Tampa, Florida",124.49,G4,83.72,G4,83.72
2023,1,"Asheville, North Carolina","Sanford, Florida",81.75,G4,81.75,G4,81.75
2023,1,"Tucson, Arizona","Washington, DC (Metropolitan Area)",345.04,AA,349.62,WN,311.53
2023,1,"Phoenix, Arizona",Pittsburgh,333.9,AA,343.71,WN,294.37
2023,1,"Phoenix, Arizona",Seattle,191.91,AS,199.36,WN,168.88
2023,1,"Phoenix, Arizona","Washington, DC (Metropolitan Area)",308.28,AA,388.12,F9,130.96
2023,1,"Phoenix, Arizona",St. Louis,281.19,WN,275.05,WN,275.05
2023,1,"Phoenix, Arizona","Sioux Falls, South Dakota",175.69,G4,137.61,G4,137.61
2023,1,"Phoenix, Arizona","Spokane, Washington",228.43,WN,218.05,G4,111.6
2023,1,"Phoenix, Arizona",San Francisco,179.29,WN,169.06,WN,169.06
2023,1,"Phoenix, Arizona","Sacramento, California",202.23,WN,195.19,WN,195.19
2023,1,"Phoenix, Arizona","Tampa, Florida",329.55,AA,371.27,F9,117.79
2023,1,"Phoenix, Arizona",San Antonio,241.61,WN,228.46,WN,228.46
2023,1,"Phoenix, Arizona",San Diego,155.54,WN,150.3,WN,150.3
2023,1,"Phoenix, Arizona","Portland, Oregon",200.54,AS,200.45,WN,189.16
2023,1,"Phoenix, Arizona","Provo, Utah",90.83,G4,91.15,MX,87.4
2023,1,"Phoenix, Arizona","Raleigh/Durham, NC",315.15,AA,347.21,F9,111.34
2023,1,"Phoenix, Arizona","Reno, Nevada",213.64,WN,196.29,WN,196.29
2023,1,"Phoenix, Arizona",Salt Lake City,192.67,DL,223.43,WN,174.27
2023,1,"Phoenix, Arizona","Tulsa, Oklahoma",255.56,WN,228.69,WN,228.69
2023,1,"Hartford, Connecticut","Phoenix, Arizona",312.13,AA,379.52,MX,104.64
2023,1,"Hartford, Connecticut","Nashville, Tennessee",191.66,WN,174.65,WN,174.65
2023,1,"Hartford, Connecticut","Washington, DC (Metropolitan Area)",181.56,AA,220.9,WN,131.15
2023,1,"Hartford, Connecticut","Orlando, Florida",170.91,B6,197.42,F9,102.03
2023,1,"Hartford, Connecticut",Las Vegas,229.05,F9,115.37,F9,115.37
2023,1,"Hartford, Connecticut",Miami,208.09,B6,192.71,B6,192.71
2023,1,"Hartford, Connecticut",Los Angeles,302.86,B6,251.97,B6,251.97
2023,1,"Hartford, Connecticut","Tampa, Florida",172.62,B6,174.05,WN,156.68
2023,1,"Hartford, Connecticut","West Palm Beach, Florida",216.65,B6,216.23,WN,147.9
2023,1,Seattle,"Tucson, Arizona",241.56,AS,249.64,DL,232.58
2023,1,Seattle,"Washington, DC (Metropolitan Area)",277.77,AS,273.81,UA,273.78
2023,1,Seattle,St. Louis,262.04,AS,251.51,F9,124.38
2023,1,Seattle,"Spokane, Washington",186.72,AS,187.38,DL,185.02
2023,1,Seattle,"Tampa, Florida",303.01,AS,304.89,AS,304.89
2023,1,"Birmingham, Alabama",Dallas–Fort Worth metroplex,235.57,AA,250.81,WN,201.51
2023,1,"Birmingham, Alabama",Denver,263.89,UA,287.43,WN,225.65
2023,1,"Birmingham, Alabama","Washington, DC (Metropolitan Area)",255.49,AA,285.15,WN,189.96
2023,1,"Birmingham, Alabama",Chicago,210.38,WN,182.11,WN,182.11
2023,1,"Birmingham, Alabama",Houston,225.47,UA,237.54,WN,198.72
2023,1,"Birmingham, Alabama","Orlando, Florida",212.44,WN,186.33,WN,186.33
2023,1,"Birmingham, Alabama",New York City,316.41,DL,335.35,AA,290.51
2023,1,"Birmingham, Alabama","Tampa, Florida",191.91,WN,166.94,WN,166.94
2023,1,"El Paso, Texas","Phoenix, Arizona",181.59,WN,168.99,WN,168.99
2023,1,"El Paso, Texas","Washington, DC (Metropolitan Area)",329.47,WN,285.8,WN,285.8
2023,1,"El Paso, Texas",Houston,222.27,WN,204.74,WN,204.74
2023,1,"El Paso, Texas",New York City,363.39,AA,360.05,WN,286.95
2023,1,"El Paso, Texas",Las Vegas,177.22,WN,191.63,F9,78.84
2023,1,"El Paso, Texas",Los Angeles,215.66,WN,196.77,WN,196.77
2023,1,"El Paso, Texas",San Antonio,187.31,WN,180.85,WN,180.85
2023,1,"Billings, Montana","Phoenix, Arizona",193.87,G4,127.77,G4,127.77
2023,1,"Bismarck/Mandan, ND","Phoenix, Arizona",184.74,G4,161.84,G4,161.84
2023,1,Cleveland,Dallas–Fort Worth metroplex,279.41,AA,291.44,F9,104.18
2023,1,Cleveland,Denver,219.74,UA,245.37,F9,104.32
2023,1,Cleveland,"Phoenix, Arizona",246.41,F9,151.64,F9,151.64
2023,1,Cleveland,Seattle,230.41,AS,209.69,AS,209.69
2023,1,Cleveland,"Nashville, Tennessee",188.19,WN,177.49,WN,177.49
2023,1,Cleveland,"Washington, DC (Metropolitan Area)",200.9,AA,212.25,WN,177.45
2023,1,Cleveland,Houston,249.68,UA,266.59,WN,191.47
2023,1,Cleveland,"Orlando, Florida",160.42,F9,102.98,F9,102.98
2023,1,Cleveland,Minneapolis–Saint Paul,309.63,DL,323.92,UA,265.85
2023,1,Cleveland,New York City,210.33,UA,204.56,AA,200.89
2023,1,Cleveland,"Fort Myers, Florida",172.89,F9,109.21,F9,109.21
2023,1,Cleveland,Las Vegas,204.22,F9,137.04,NK,122.66
2023,1,Cleveland,San Francisco,300.22,UA,316.51,F9,113.7
2023,1,Cleveland,Miami,195.08,NK,125.06,NK,125.06
2023,1,Cleveland,Los Angeles,253.02,UA,292.76,NK,136.24
2023,1,Cleveland,"Tampa, Florida",141.05,F9,109.3,G4,103.14
2023,1,Cleveland,San Diego,317.32,UA,382.07,F9,113.17
2023,1,Cleveland,"Sarasota/Bradenton, FL",204.28,G4,130.76,G4,130.76
2023,1,"Bellingham, Washington",Las Vegas,117.81,G4,106.44,G4,106.44
2023,1,"Nashville, Tennessee",Pittsburgh,171.22,WN,171.35,G4,75.64
2023,1,"Nashville, Tennessee","Phoenix, Arizona",284.41,WN,289.67,F9,112.79
2023,1,"Nashville, Tennessee",Seattle,275.76,AS,274.58,DL,270.75
2023,1,"Nashville, Tennessee","Washington, DC (Metropolitan Area)",182.53,WN,182.82,UA,178.51
2023,1,"Nashville, Tennessee","Orlando, Florida",188.17,WN,211.49,NK,95.96
2023,1,"Nashville, Tennessee",New York City,166.55,UA,182.14,WN,140.94
2023,1,"Nashville, Tennessee",San Francisco,303.57,UA,322.9,WN,278.15
2023,1,"Nashville, Tennessee","Sacramento, California",281.34,WN,267.7,WN,267.7
2023,1,"Nashville, Tennessee","Tampa, Florida",167.09,WN,162.41,WN,162.41
2023,1,"Nashville, Tennessee",San Antonio,252.85,WN,238.97,WN,238.97
2023,1,"Nashville, Tennessee",New Orleans,208.09,WN,203.44,WN,203.44
2023,1,"Nashville, Tennessee",San Diego,329.32,WN,341.54,WN,341.54
2023,1,"Nashville, Tennessee",Philadelphia,183.57,AA,220.83,NK,94.27
2023,1,"Nashville, Tennessee","Raleigh/Durham, NC",186.14,WN,167.01,WN,167.01
2023,1,"Nashville, Tennessee",Salt Lake City,353.86,DL,405.74,WN,293.74
2023,1,"Nashville, Tennessee","Sarasota/Bradenton, FL",168.17,WN,169.87,G4,78.78
2023,1,"Boise, Idaho",Dallas–Fort Worth metroplex,322.58,AA,363.37,WN,243.35
2023,1,"Boise, Idaho",Denver,212.87,UA,226.87,WN,186.25
2023,1,"Boise, Idaho","Phoenix, Arizona",167.89,WN,170.45,AS,150.33
2023,1,"Boise, Idaho",Seattle,163.62,AS,160.88,AS,160.88
2023,1,"Boise, Idaho","Spokane, Washington",184.45,AS,183.26,AS,183.26
2023,1,"Boise, Idaho",Las Vegas,161.48,WN,173.32,NK,104.9
2023,1,"Boise, Idaho",San Francisco,171.99,WN,158.48,WN,158.48
2023,1,"Boise, Idaho",Los Angeles,181.74,WN,172.63,WN,172.63
2023,1,"Boise, Idaho","Sacramento, California",157.54,WN,153.77,WN,153.77
2023,1,"Boise, Idaho",San Diego,172.25,AS,163.01,AS,163.01
2023,1,"Boise, Idaho","Portland, Oregon",194.99,AS,193.93,AS,193.93
2023,1,"Boise, Idaho",Salt Lake City,246.78,DL,246.88,DL,246.88
2023,1,Boston,Dallas–Fort Worth metroplex,270.51,AA,306.9,B6,217.19
2023,1,Boston,Pittsburgh,162.33,B6,156.26,B6,156.26
2023,1,Boston,Denver,252.24,UA,264.67,B6,212.91
2023,1,Boston,"Phoenix, Arizona",341.39,AA,407.69,B6,265.49
2023,1,Boston,Seattle,234.71,AS,219.05,AS,219.05
2023,1,Boston,Cleveland,163.23,B6,148.94,B6,148.94
2023,1,Boston,"Nashville, Tennessee",215.98,DL,242.52,WN,190.3
2023,1,Boston,"Buffalo, New York",162.35,B6,159.33,B6,159.33
